,bond length,anion,icohp
946,2.02823,F,-2.45908
947,1.99959,F,-2.68905
948,1.99996,F,-2.68798
949,1.91522,F,-3.36699
950,1.91522,F,-3.36596
951,2.03577,F,-2.51112
952,2.03493,F,-2.46721
953,2.03776,F,-2.45997
954,2.08329,F,-2.1722599999999996
955,2.08953,F,-2.12303
956,2.03226,F,-2.52283
957,2.04301,F,-2.4418800000000003
958,2.04003,F,-2.48081
959,2.07883,F,-2.3260899999999998
960,1.92567,O,-4.03728
961,1.92578,O,-4.0434
962,1.92571,O,-4.03945
963,1.92571,O,-4.0420300000000005
964,1.93467,O,-3.9613500000000004
965,1.93478,O,-3.9617899999999997
966,1.93465,O,-3.9623
967,1.93482,O,-3.9627999999999997
968,1.93481,O,-3.95566
969,1.93466,O,-3.9676400000000003
970,1.9348,O,-3.96212
971,1.93463,O,-3.96425
972,1.9258,O,-4.03315
973,1.92567,O,-4.040419999999999
974,1.92573,O,-4.04085
975,1.92573,O,-4.03785
976,1.86649,F,-4.02276
977,1.8665,F,-4.0264299999999995
978,1.87509,F,-3.71407
979,1.87532,F,-3.7145099999999998
980,1.8753,F,-3.7192999999999996
981,1.87509,F,-3.7234800000000003
982,1.90381,F,-3.7439
983,1.9038,F,-3.73869
984,1.98522,F,-2.82428
985,1.98529,F,-2.82575
986,1.98522,F,-2.82901
987,1.98529,F,-2.8321
988,1.90381,F,-3.74182
989,1.9038,F,-3.73742
990,1.98529,F,-2.85073
991,1.98523,F,-2.85478
992,1.98529,F,-2.84883
993,1.98522,F,-2.84755
994,1.86649,F,-4.01969
995,1.8665,F,-4.02412
996,1.8753,F,-3.71952
997,1.87511,F,-3.72888
998,1.87506,F,-3.72165
999,1.87532,F,-3.71549
1000,2.11588,F,-2.01272
1001,2.11587,F,-2.0088
1002,2.07856,F,-2.1884699999999997
1003,2.07857,F,-2.19275
1004,2.07856,F,-2.1892500000000004
1005,2.07857,F,-2.19322
1006,2.11588,F,-2.01389
1007,2.11587,F,-2.00926
1008,1.78948,O,-5.82043
1009,1.81773,O,-5.3523
1010,1.87299,O,-4.71058
1011,1.87331,O,-4.69367
1012,1.89762,O,-4.38731
1013,1.90142,O,-4.37698
1014,1.82353,O,-5.3216
1015,1.8384,O,-5.04361
1016,1.97062,O,-3.77987
1017,1.97061,O,-3.7290900000000002
1018,1.95338,O,-3.69454
1019,1.93003,O,-3.9795
1020,1.7177,O,-7.23262
1021,1.9083,O,-4.3860399999999995
1022,1.90832,O,-4.42549
1023,1.91029,O,-3.94946
1024,1.90963,F,-3.57435
1025,1.90963,F,-3.5735900000000003
1026,1.91258,F,-3.4521100000000002
1027,1.91259,F,-3.46062
1028,1.97018,F,-2.83812
1029,1.88779,F,-3.7921300000000002
1030,1.88782,F,-3.79427
1031,1.91221,F,-3.44484
1032,1.91222,F,-3.4670699999999997
1033,1.96795,F,-2.8658799999999998
1034,1.9731,F,-3.00436
1035,1.97311,F,-2.99568
1036,1.97119,F,-2.9157599999999997
1037,1.97118,F,-2.91269
1038,1.92715,F,-3.38767
1039,1.92714,F,-3.39022
1040,1.97001,F,-2.9298
1041,1.97,F,-2.90692
1042,2.05211,F,-2.39684
1043,2.05211,F,-2.40135
1044,1.96813,F,-2.9250100000000003
1045,1.96815,F,-2.9125
1046,2.07346,F,-2.25473
1047,2.07346,F,-2.23687
1048,1.99027,F,-2.8390899999999997
1049,1.99024,F,-2.8599699999999997
1050,1.92012,F,-3.3366100000000003
1051,1.9201,F,-3.35324
1052,1.95224,F,-2.85269
1053,2.03064,F,-2.5337199999999998
1054,2.03065,F,-2.53565
1055,1.96511,F,-2.88625
1056,1.82975,O,-5.27518
1057,1.82669,O,-5.32147
1058,1.82975,O,-5.28251
1059,1.82669,O,-5.30035
1060,1.82974,O,-5.2712699999999995
1061,1.82668,O,-5.31681
1062,1.82975,O,-5.26522
1063,1.8267,O,-5.313689999999999
1064,1.82976,O,-5.27873
1065,1.82667,O,-5.30776
1066,1.82975,O,-5.2666
1067,1.82671,O,-5.31504
1068,1.82975,O,-5.269080000000001
1069,1.82669,O,-5.30292
1070,1.82975,O,-5.2777899999999995
1071,1.82668,O,-5.32693
1072,1.97286,F,-2.9751
1073,1.97286,F,-2.98847
1074,2.0034,F,-2.66085
1075,2.00939,F,-2.6243
1076,1.97285,F,-2.9962
1077,1.97286,F,-2.9680600000000004
1078,2.0034,F,-2.65899
1079,2.00939,F,-2.63158
1080,1.97285,F,-2.97851
1081,1.97286,F,-2.98727
1082,2.0034,F,-2.66357
1083,2.00939,F,-2.62798
1084,1.97286,F,-2.98859
1085,1.97286,F,-2.9814
1086,2.00339,F,-2.66981
1087,2.00939,F,-2.63272
1088,1.97286,F,-2.99662
1089,1.97287,F,-2.96847
1090,2.00339,F,-2.6617800000000003
1091,2.0094,F,-2.63076
1092,1.97288,F,-2.9644399999999997
1093,1.97286,F,-3.00145
1094,2.00339,F,-2.66556
1095,2.00938,F,-2.6285
1096,1.97287,F,-2.98663
1097,1.97287,F,-2.98243
1098,2.00339,F,-2.66841
1099,2.00939,F,-2.63551
1100,1.97286,F,-2.9765699999999997
1101,1.97286,F,-2.98399
1102,2.0034,F,-2.65625
1103,2.0094,F,-2.62028
1104,1.82535,O,-5.32479
1105,1.82536,O,-5.324199999999999
1106,1.82535,O,-5.326309999999999
1107,1.82534,O,-5.3273
1108,1.82535,O,-5.3285800000000005
1109,1.82534,O,-5.3252299999999995
1110,1.82535,O,-5.3255
1111,1.82534,O,-5.3246
1112,1.82535,O,-5.32536
1113,1.82535,O,-5.323869999999999
1114,1.82535,O,-5.32764
1115,1.82535,O,-5.327590000000001
1116,1.82535,O,-5.32836
1117,1.82534,O,-5.32663
1118,1.82535,O,-5.32474
1119,1.82534,O,-5.32405
1120,1.97266,F,-2.97314
1121,1.97266,F,-2.9952699999999997
1122,2.0112,F,-2.6199399999999997
1123,2.0112,F,-2.61968
1124,1.97266,F,-2.97377
1125,1.97266,F,-2.99412
1126,2.0112,F,-2.61903
1127,2.01119,F,-2.6181900000000002
1128,1.97266,F,-2.97517
1129,1.97266,F,-2.99248
1130,2.01121,F,-2.6178600000000003
1131,2.0112,F,-2.61899
1132,1.97266,F,-2.97484
1133,1.97266,F,-2.99124
1134,2.0112,F,-2.61763
1135,2.0112,F,-2.61768
1136,1.97267,F,-2.99532
1137,1.97265,F,-2.97268
1138,2.0112,F,-2.61944
1139,2.0112,F,-2.61957
1140,1.97267,F,-2.99322
1141,1.97265,F,-2.97354
1142,2.0112,F,-2.61787
1143,2.01119,F,-2.61742
1144,1.97267,F,-2.99193
1145,1.97265,F,-2.97527
1146,2.01121,F,-2.6177599999999996
1147,2.0112,F,-2.6182499999999997
1148,1.97267,F,-2.9919000000000002
1149,1.97265,F,-2.97497
1150,2.0112,F,-2.61837
1151,2.0112,F,-2.6183
1152,1.83049,O,-5.27273
1153,1.83128,O,-5.25697
1154,1.83049,O,-5.26736
1155,1.8313,O,-5.269399999999999
1156,1.83156,O,-5.25398
1157,1.82649,O,-5.30359
1158,1.83156,O,-5.25239
1159,1.8265,O,-5.32406
1160,1.8284,O,-5.28636
1161,1.8248,O,-5.3263
1162,1.8284,O,-5.29088
1163,1.82478,O,-5.33355
1164,1.82941,O,-5.27599
1165,1.82061,O,-5.38694
1166,1.82942,O,-5.2731200000000005
1167,1.82061,O,-5.3739
1168,1.97423,F,-2.9675700000000003
1169,1.97423,F,-2.98549
1170,2.00601,F,-2.6478
1171,2.00546,F,-2.6536999999999997
1172,1.97423,F,-2.96936
1173,1.97423,F,-2.98085
1174,2.00601,F,-2.64698
1175,2.00546,F,-2.6475799999999996
1176,1.9715,F,-2.98544
1177,1.9715,F,-2.99838
1178,2.0047,F,-2.66021
1179,2.01005,F,-2.6319
1180,1.9715,F,-2.9886299999999997
1181,1.9715,F,-2.99227
1182,2.00471,F,-2.65749
1183,2.01005,F,-2.62181
1184,1.97455,F,-2.98367
1185,1.97455,F,-2.96311
1186,2.00121,F,-2.67115
1187,2.01176,F,-2.6225199999999997
1188,1.97455,F,-2.97959
1189,1.97455,F,-2.96585
1190,2.0012,F,-2.66897
1191,2.01176,F,-2.61895
1192,1.97182,F,-2.99195
1193,1.97182,F,-2.9809900000000003
1194,2.00013,F,-2.67429
