r	exp	calc	diff
3.48	-2.03086	-2.20909	0.17823
3.49	-1.79781	-1.97956	0.18175
3.5	-1.56864	-1.74386	0.17522
3.51	-1.34867	-1.50693	0.15826
3.52	-1.14306	-1.27376	0.1307
3.53	-0.956627	-1.04925	0.092623
3.54	-0.793648	-0.838059	0.044411
3.55	-0.657724	-0.64438	-0.013344
3.56	-0.551613	-0.471842	-0.079771
3.57	-0.477112	-0.323352	-0.15376
3.58	-0.434955	-0.200991	-0.233964
3.59	-0.424759	-0.105925	-0.318834
3.6	-0.44499	-0.0383636	-0.4066264
3.61	-0.492983	0.00246657	-0.49544957
3.62	-0.564992	0.0182975	-0.5832895
3.63	-0.656282	0.0117703	-0.6680523
3.64	-0.761262	-0.0136512	-0.7476108
3.65	-0.873645	-0.053795	-0.81985
3.66	-0.986643	-0.103924	-0.882719
3.67	-1.09318	-0.158897	-0.934283
3.68	-1.18612	-0.213349	-0.972771
3.69	-1.25853	-0.261881	-0.996649
3.7	-1.30387	-0.299245	-1.004625
3.71	-1.31627	-0.320534	-0.995736
3.72	-1.29074	-0.321356	-0.969384
3.73	-1.22332	-0.29799	-0.92533
3.74	-1.1113	-0.24752	-0.86378
3.75	-0.953284	-0.167942	-0.785342
3.76	-0.749291	-0.058236	-0.691055
3.77	-0.500794	0.081593	-0.582387
3.78	-0.210687	0.250514	-0.461201
3.79	0.116767	0.4465	-0.329733
3.8	0.476056	0.666601	-0.190545
3.81	0.86057	0.907038	-0.046468
3.82	1.2628	1.16334	0.09946
3.83	1.67455	1.43047	0.24408
3.84	2.08721	1.70306	0.38415
3.85	2.49199	1.97551	0.51648
3.86	2.88024	2.24224	0.638
3.87	3.24368	2.49784	0.74584
3.88	3.57468	2.73727	0.83741
3.89	3.86649	2.95602	0.91047
3.9	4.11347	3.15025	0.96322
3.91	4.31123	3.31692	0.99431
3.92	4.45681	3.45383	1.00298
3.93	4.54872	3.55978	0.98894
3.94	4.58699	3.63447	0.95252
3.95	4.57317	3.67861	0.89456
3.96	4.51027	3.69376	0.81651
3.97	4.40259	3.68237	0.72022
3.98	4.25566	3.64758	0.60808
3.99	4.07594	3.59317	0.48277
4	3.87071	3.52335	0.34736
4.01	3.64771	3.44267	0.20504
4.02	3.41499	3.35579	0.0592
4.03	3.18057	3.26736	-0.08679
4.04	2.9522	3.18184	-0.22964
4.05	2.73716	3.10335	-0.36619
4.06	2.54198	3.03553	-0.49355
4.07	2.37229	2.98145	-0.60916
4.08	2.23264	2.9435	-0.71086
4.09	2.1264	2.92331	-0.79691
4.1	2.05569	2.92176	-0.86607
4.11	2.02135	2.93895	-0.9176
4.12	2.02296	2.97419	-0.95123
4.13	2.05891	3.02611	-0.9672
4.14	2.12648	3.09268	-0.9662
4.15	2.22201	3.17134	-0.94933
4.16	2.34105	3.25909	-0.91804
4.17	2.47853	3.3526	-0.87407
4.18	2.62898	3.44836	-0.81938
4.19	2.78676	3.5428	-0.75604
4.2	2.94622	3.63242	-0.6862
4.21	3.1019	3.71389	-0.61199
4.22	3.24876	3.78419	-0.53543
4.23	3.38227	3.84068	-0.45841
4.24	3.49857	3.88117	-0.3826
4.25	3.59457	3.90397	-0.3094
4.26	3.66802	3.90794	-0.23992
4.27	3.71748	3.89251	-0.17503
4.28	3.7424	3.8576	-0.1152
4.29	3.74298	3.80369	-0.06071
4.3	3.7202	3.73167	-0.01147
4.31	3.67564	3.64288	0.03276
4.32	3.61142	3.53893	0.07249
4.33	3.53003	3.4217	0.10833
4.34	3.43423	3.29323	0.141
4.35	3.32687	3.15561	0.17126
4.36	3.2108	3.01093	0.19987
4.37	3.08868	2.86118	0.2275
4.38	2.96294	2.70821	0.25473
4.39	2.83565	2.55363	0.28202
4.4	2.70846	2.39884	0.30962
4.41	2.58253	2.24493	0.3376
4.42	2.45857	2.09271	0.36586
4.43	2.3368	1.94269	0.39411
4.44	2.21699	1.79512	0.42187
4.45	2.09853	1.65	0.44853
4.46	1.98048	1.50713	0.47335
4.47	1.86167	1.36613	0.49554
4.48	1.74079	1.22654	0.51425
4.49	1.61647	1.08782	0.52865
4.5	1.4874	0.949434	0.537966
4.51	1.35243	0.81088	0.54155
4.52	1.21063	0.671756	0.538874
4.53	1.06135	0.531781	0.529569
4.54	0.904302	0.390826	0.513476
4.55	0.739583	0.248931	0.490652
4.56	0.567672	0.106318	0.461354
4.57	0.389433	-0.0366235	0.4260565
4.58	0.206085	-0.17934	0.385425
4.59	0.0191568	-0.321142	0.3402988
4.6	-0.169579	-0.461234	0.291655
4.61	-0.358178	-0.59875	0.240572
4.62	-0.544606	-0.732797	0.188191
4.63	-0.72683	-0.862492	0.135662
4.64	-0.902904	-0.987011	0.084107
4.65	-1.07105	-1.10562	0.03457
4.66	-1.22974	-1.21773	-0.01201
4.67	-1.37776	-1.32289	-0.05487
