r	calc	exp	diff
14.6	-4.21514	-4.22517	-0.01003
14.61	-4.2408	-4.32057	-0.07977
14.62	-4.25543	-4.40351	-0.14808
14.63	-4.25965	-4.47392	-0.21427
14.64	-4.25416	-4.53177	-0.27761
14.65	-4.23967	-4.57711	-0.33744
14.66	-4.21689	-4.61002	-0.39313
14.67	-4.18658	-4.63069	-0.44411
14.68	-4.14949	-4.63938	-0.48989
14.69	-4.10636	-4.63644	-0.53008
14.7	-4.05795	-4.62231	-0.56436
14.71	-4.00498	-4.59751	-0.59253
14.72	-3.94814	-4.56266	-0.61452
14.73	-3.88812	-4.51844	-0.63032
14.74	-3.82556	-4.46563	-0.64007
14.75	-3.76106	-4.40504	-0.64399
14.76	-3.69518	-4.33755	-0.64237
14.77	-3.62843	-4.26405	-0.63562
14.78	-3.56128	-4.18546	-0.62418
14.79	-3.49414	-4.10268	-0.60854
14.8	-3.42735	-4.01658	-0.58923
14.81	-3.36122	-3.92801	-0.56679
14.82	-3.29599	-3.83773	-0.54174
14.83	-3.23183	-3.74644	-0.51461
14.84	-3.16886	-3.65475	-0.48589
14.85	-3.10716	-3.56315	-0.45599
14.86	-3.04674	-3.47207	-0.42533
14.87	-2.98756	-3.38177	-0.39421
14.88	-2.92953	-3.29245	-0.36292
14.89	-2.87254	-3.20418	-0.33164
14.9	-2.81641	-3.11695	-0.30054
14.91	-2.76094	-3.03065	-0.26971
14.92	-2.70592	-2.94509	-0.23917
14.93	-2.65108	-2.86006	-0.20898
14.94	-2.59617	-2.77527	-0.1791
14.95	-2.54091	-2.69043	-0.14952
14.96	-2.48504	-2.60524	-0.1202
14.97	-2.42827	-2.5194	-0.09113
14.98	-2.37036	-2.43266	-0.0623
14.99	-2.31106	-2.3448	-0.03374
15	-2.25014	-2.25565	-0.00551
15.01	-2.18742	-2.1651	0.02232
15.02	-2.12273	-2.07311	0.04962
15.03	-2.05595	-1.9797	0.07625
15.04	-1.98697	-1.88496	0.10202
15.05	-1.91577	-1.78904	0.12673
15.06	-1.84231	-1.69215	0.15016
15.07	-1.76664	-1.59454	0.1721
15.08	-1.68882	-1.49649	0.19233
15.09	-1.60896	-1.3983	0.21066
15.1	-1.52721	-1.30028	0.22693
15.11	-1.44374	-1.20275	0.24099
15.12	-1.35874	-1.10598	0.25276
15.13	-1.27244	-1.01024	0.2622
15.14	-1.18507	-0.91575	0.26932
15.15	-1.09688	-0.82267	0.27421
15.16	-1.0081	-0.73112	0.27698
15.17	-0.91898	-0.64116	0.27782
15.18	-0.82973	-0.55279	0.27695
15.19	-0.74056	-0.46594	0.27463
15.2	-0.65164	-0.38049	0.27115
15.21	-0.56311	-0.29629	0.26682
15.22	-0.47506	-0.21311	0.26195
15.23	-0.38754	-0.13071	0.25683
15.24	-0.30055	-0.04881	0.25175
15.25	-0.21405	0.0329	0.24694
15.26	-0.12792	0.11471	0.24263
15.27	-0.04199	0.19695	0.23895
15.28	0.04393	0.27993	0.236
15.29	0.13013	0.36394	0.23381
15.3	0.21692	0.44927	0.23235
15.31	0.30464	0.53618	0.23154
15.32	0.39369	0.62491	0.23122
15.33	0.48448	0.71567	0.23119
15.34	0.57743	0.80865	0.23122
15.35	0.67298	0.90402	0.23104
15.36	0.77154	1.0019	0.23036
15.37	0.87352	1.10242	0.2289
15.38	0.97928	1.20564	0.22636
15.39	1.08914	1.31163	0.22249
15.4	1.20336	1.42041	0.21705
15.41	1.32213	1.53198	0.20985
15.42	1.44554	1.64631	0.20077
15.43	1.57362	1.76332	0.1897
15.44	1.70625	1.8829	0.17665
15.45	1.84325	2.0049	0.16165
15.46	1.98427	2.12909	0.14482
15.47	2.12889	2.25521	0.12632
15.48	2.27655	2.38291	0.10636
15.49	2.42655	2.5118	0.08525
15.5	2.57812	2.64137	0.06325
15.51	2.73035	2.77107	0.04072
15.52	2.88223	2.90026	0.01803
15.53	3.0327	3.02821	-0.00449
15.54	3.18058	3.15413	-0.02645
15.55	3.32467	3.27716	-0.04751
15.56	3.4637	3.39636	-0.06734
15.57	3.59642	3.51079	-0.08563
15.58	3.72154	3.61944	-0.1021
15.59	3.83782	3.7213	-0.11652
15.6	3.94405	3.81535	-0.1287
15.61	4.03908	3.90063	-0.13845
15.62	4.12187	3.97621	-0.14566
15.63	4.19146	4.0412	-0.15026
15.64	4.24702	4.09486	-0.15216
15.65	4.28785	4.13651	-0.15134
15.66	4.31343	4.16563	-0.1478
15.67	4.32338	4.18182	-0.14156
15.68	4.31751	4.18486	-0.13265
15.69	4.2958	4.17466	-0.12114
15.7	4.25841	4.15134	-0.10707
15.71	4.20571	4.11514	-0.09057
15.72	4.13821	4.06651	-0.0717
15.73	4.05661	4.00601	-0.0506
15.74	3.96179	3.93436	-0.02743
15.75	3.85476	3.8524	-0.00236
15.76	3.73665	3.76108	0.02443
15.77	3.60874	3.66142	0.05268
15.78	3.47237	3.55449	0.08212
15.79	3.32899	3.44141	0.11242
15.8	3.18006	3.32329	0.14323
15.81	3.02711	3.20124	0.17413
15.82	2.87164	3.07631	0.20467
15.83	2.71514	2.94949	0.23435
15.84	2.55907	2.82171	0.26264
15.85	2.40479	2.6938	0.28901
15.86	2.25361	2.56649	0.31288
15.87	2.10671	2.44038	0.33367
15.88	1.96515	2.31599	0.35084
15.89	1.82987	2.19371	0.36384
15.9	1.70163	2.07384	0.37221
15.91	1.58105	1.95657	0.37552
15.92	1.4686	1.84201	0.37341
15.93	1.36456	1.7302	0.36564
15.94	1.26906	1.62111	0.35205
15.95	1.18206	1.51469	0.33263
15.96	1.10338	1.41083	0.30745
15.97	1.03267	1.30942	0.27675
15.98	0.96947	1.21036	0.24089
15.99	0.91319	1.11353	0.20034
16	0.86314	1.01884	0.1557
16.01	0.81854	0.92624	0.1077
16.02	0.77855	0.83568	0.05713
16.03	0.7423	0.74715	0.00486
16.04	0.70885	0.66068	-0.04818
16.05	0.67731	0.57629	-0.10102
16.06	0.64675	0.49406	-0.1527
16.07	0.61633	0.41405	-0.20228
16.08	0.58523	0.33635	-0.24888
16.09	0.5527	0.26102	-0.29168
16.1	0.51808	0.18814	-0.32994
16.11	0.48081	0.11776	-0.36305
16.12	0.44045	0.0499	-0.39055
16.13	0.39665	-0.01543	-0.41208
16.14	0.34921	-0.07825	-0.42746
16.15	0.29804	-0.13862	-0.43667
16.16	0.24319	-0.19662	-0.43981
16.17	0.18482	-0.25234	-0.43715
16.18	0.12321	-0.30589	-0.4291
16.19	0.05877	-0.3574	-0.41618
16.2	-0.00799	-0.407	-0.399
16.21	-0.0765	-0.45479	-0.37829
16.22	-0.14606	-0.50087	-0.35481
16.23	-0.21595	-0.54531	-0.32936
16.24	-0.28539	-0.58814	-0.30276
16.25	-0.35355	-0.62937	-0.27582
16.26	-0.41961	-0.66892	-0.24932
16.27	-0.48274	-0.70672	-0.22397
16.28	-0.54216	-0.74259	-0.20044
16.29	-0.59709	-0.77636	-0.17927
16.3	-0.64682	-0.80779	-0.16096
16.31	-0.69073	-0.8366	-0.14587
16.32	-0.72826	-0.86252	-0.13425
16.33	-0.75896	-0.88523	-0.12628
16.34	-0.78245	-0.90444	-0.12199
16.35	-0.79852	-0.91987	-0.12135
16.36	-0.80703	-0.93126	-0.12422
16.37	-0.80798	-0.93839	-0.1304
16.38	-0.8015	-0.94111	-0.13961
16.39	-0.7878	-0.93932	-0.15152
16.4	-0.76726	-0.93301	-0.16576
16.41	-0.74032	-0.92225	-0.18193
16.42	-0.70755	-0.90718	-0.19962
16.43	-0.6696	-0.88803	-0.21842
16.44	-0.6272	-0.86512	-0.23792
16.45	-0.58113	-0.83883	-0.2577
16.46	-0.53223	-0.80963	-0.2774
16.47	-0.48138	-0.77801	-0.29664
16.48	-0.42946	-0.74454	-0.31508
16.49	-0.37737	-0.70979	-0.33242
16.5	-0.32598	-0.67433	-0.34836
16.51	-0.27613	-0.63875	-0.36262
16.52	-0.22863	-0.6036	-0.37497
16.53	-0.18421	-0.56937	-0.38517
16.54	-0.14353	-0.53654	-0.39301
16.55	-0.10719	-0.50549	-0.3983
16.56	-0.07566	-0.47653	-0.40087
16.57	-0.04934	-0.44989	-0.40055
16.58	-0.02851	-0.42573	-0.39722
16.59	-0.01334	-0.4041	-0.39076
16.6	-0.00389	-0.385	-0.38111
16.61	-1.13142E-4	-0.36831	-0.3682
16.62	-0.00185	-0.3539	-0.35204
16.63	-0.00885	-0.34153	-0.33268
16.64	-0.02075	-0.33096	-0.31021
16.65	-0.03711	-0.32189	-0.28478
16.66	-0.05741	-0.31404	-0.25662
16.67	-0.08108	-0.30709	-0.22601
16.68	-0.10748	-0.30076	-0.19328
16.69	-0.13592	-0.29479	-0.15887
16.7	-0.16572	-0.28895	-0.12323
16.71	-0.19616	-0.28306	-0.0869
16.72	-0.22654	-0.27697	-0.05044
16.73	-0.25615	-0.27061	-0.01445
16.74	-0.28436	-0.26393	0.02043
16.75	-0.31053	-0.25696	0.05358
16.76	-0.33412	-0.24974	0.08438
16.77	-0.35463	-0.24238	0.11225
16.78	-0.37163	-0.23499	0.13664
16.79	-0.38479	-0.22773	0.15706
16.8	-0.39386	-0.22074	0.17312
16.81	-0.39869	-0.21418	0.18451
16.82	-0.39919	-0.20819	0.19101
16.83	-0.3954	-0.20288	0.19252
16.84	-0.38744	-0.19837	0.18907
16.85	-0.37549	-0.19471	0.18078
16.86	-0.35984	-0.19193	0.16791
16.87	-0.34084	-0.19003	0.15081
16.88	-0.3189	-0.18896	0.12994
16.89	-0.29448	-0.18864	0.10585
16.9	-0.26809	-0.18897	0.07912
16.91	-0.24025	-0.18982	0.05044
16.92	-0.21152	-0.19104	0.02048
16.93	-0.18243	-0.19249	-0.01006
16.94	-0.15351	-0.194	-0.04049
16.95	-0.12528	-0.19545	-0.07017
16.96	-0.09819	-0.19669	-0.0985
16.97	-0.07268	-0.19762	-0.12494
16.98	-0.04909	-0.19817	-0.14907
16.99	-0.02772	-0.19826	-0.17054
17	-0.00879	-0.19789	-0.18911
17.01	0.00759	-0.19706	-0.20464
17.02	0.02135	-0.19578	-0.21713
17.03	0.03254	-0.19411	-0.22665
17.04	0.04127	-0.19211	-0.23338
17.05	0.04776	-0.18982	-0.23758
17.06	0.05228	-0.18731	-0.23959
17.07	0.05519	-0.1846	-0.23979
17.08	0.0569	-0.18172	-0.23861
17.09	0.05786	-0.17863	-0.23649
17.1	0.05858	-0.17527	-0.23385
17.11	0.05959	-0.17152	-0.23111
17.12	0.06141	-0.16723	-0.22865
17.13	0.06458	-0.16219	-0.22677
17.14	0.06961	-0.15611	-0.22572
17.15	0.07698	-0.1487	-0.22568
17.16	0.08713	-0.1396	-0.22673
17.17	0.10041	-0.12845	-0.22886
17.18	0.11715	-0.11484	-0.23198
17.19	0.13754	-0.09837	-0.23592
17.2	0.16173	-0.07868	-0.24041
17.21	0.18974	-0.0554	-0.24514
17.22	0.22151	-0.02823	-0.24974
17.23	0.25687	0.00308	-0.25379
17.24	0.29555	0.0387	-0.25685
17.25	0.33719	0.07872	-0.25848
17.26	0.38134	0.12311	-0.25822
17.27	0.42745	0.17177	-0.25568
17.28	0.47491	0.22445	-0.25046
17.29	0.52308	0.28083	-0.24225
17.3	0.57123	0.34045	-0.23077
17.31	0.61862	0.40277	-0.21585
17.32	0.66452	0.46717	-0.19735
17.33	0.70817	0.53293	-0.17525
17.34	0.74887	0.59928	-0.14958
17.35	0.78592	0.66544	-0.12049
17.36	0.81873	0.73057	-0.08816
17.37	0.84673	0.79385	-0.05288
17.38	0.86949	0.85451	-0.01498
17.39	0.88663	0.91177	0.02515
17.4	0.89792	0.96498	0.06706
17.41	0.90323	1.01353	0.1103
17.42	0.90257	1.05691	0.15434
17.43	0.89607	1.09476	0.19869
17.44	0.88398	1.1268	0.24282
17.45	0.86669	1.1529	0.28622
17.46	0.84469	1.17305	0.32836
17.47	0.81861	1.18738	0.36877
17.48	0.78915	1.19612	0.40697
17.49	0.75712	1.19964	0.44252
17.5	0.72339	1.1984	0.47501
17.51	0.68888	1.19296	0.50408
17.52	0.65456	1.18393	0.52937
17.53	0.62141	1.172	0.55059
17.54	0.5904	1.15789	0.56749
17.55	0.56249	1.14234	0.57985
17.56	0.53858	1.12611	0.58753
17.57	0.51953	1.10992	0.5904
17.58	0.50609	1.09447	0.58838
17.59	0.49895	1.08044	0.58149
17.6	0.49866	1.06842	0.56976
17.61	0.50565	1.05895	0.5533
17.62	0.52023	1.05249	0.53226
17.63	0.54255	1.04944	0.50689
17.64	0.57262	1.05008	0.47746
17.65	0.61031	1.05464	0.44433
17.66	0.65533	1.06322	0.40789
17.67	0.70724	1.07587	0.36863
17.68	0.76547	1.09252	0.32706
17.69	0.8293	1.11305	0.28375
17.7	0.89792	1.13723	0.23932
17.71	0.97037	1.16476	0.19439
17.72	1.04564	1.19526	0.14962
17.73	1.1226	1.2283	0.1057
17.74	1.20009	1.26336	0.06327
17.75	1.27688	1.29986	0.02298
17.76	1.35174	1.33718	-0.01456
17.77	1.42341	1.37463	-0.04878
17.78	1.49066	1.41146	-0.0792
17.79	1.55227	1.4469	-0.10537
17.8	1.60709	1.48013	-0.12696
17.81	1.65401	1.51031	-0.1437
17.82	1.692	1.53656	-0.15545
17.83	1.72015	1.55801	-0.16214
17.84	1.73761	1.57375	-0.16386
17.85	1.74365	1.58292	-0.16073
17.86	1.73769	1.58464	-0.15305
17.87	1.71923	1.5781	-0.14113
17.88	1.68792	1.5625	-0.12542
17.89	1.64354	1.53712	-0.10642
17.9	1.58599	1.50132	-0.08467
17.91	1.5153	1.45451	-0.06079
17.92	1.43163	1.39625	-0.03538
17.93	1.33524	1.32615	-0.00909
17.94	1.2265	1.24399	0.01749
17.95	1.10591	1.14965	0.04374
17.96	0.97403	1.04316	0.06913
17.97	0.83152	0.92466	0.09315
17.98	0.6791	0.79446	0.11535
17.99	0.51758	0.65296	0.13538
18	0.34778	0.50073	0.15295
18.01	0.17061	0.33845	0.16784
18.02	-0.01304	0.16689	0.17993
18.03	-0.20223	-0.01306	0.18917
18.04	-0.39601	-0.20044	0.19556
18.05	-0.59343	-0.39422	0.19922
18.06	-0.79356	-0.5933	0.20026
18.07	-0.99547	-0.79657	0.1989
18.08	-1.19826	-1.00289	0.19537
18.09	-1.40104	-1.21114	0.1899
18.1	-1.60298	-1.42018	0.1828
18.11	-1.80325	-1.62893	0.17432
18.12	-2.00109	-1.83633	0.16476
18.13	-2.19577	-2.04139	0.15438
18.14	-2.38658	-2.24318	0.1434
18.15	-2.57289	-2.4408	0.13209
18.16	-2.75409	-2.63347	0.12062
18.17	-2.92962	-2.82044	0.10918
18.18	-3.09897	-3.00106	0.09791
18.19	-3.26167	-3.17471	0.08696
18.2	-3.41728	-3.34087	0.07641
18.21	-3.56542	-3.49906	0.06636
18.22	-3.70574	-3.64886	0.05688
18.23	-3.83793	-3.78988	0.04805
18.24	-3.96173	-3.92182	0.03991
18.25	-4.07689	-4.04437	0.03252
18.26	-4.18323	-4.15727	0.02596
18.27	-4.2806	-4.26031	0.02029
18.28	-4.36887	-4.3533	0.01557
18.29	-4.44796	-4.43609	0.01187
18.3	-4.51783	-4.50856	0.00927
18.31	-4.57847	-4.57062	0.00785
18.32	-4.62993	-4.62223	0.0077
18.33	-4.67225	-4.66341	0.00884
18.34	-4.70557	-4.6942	0.01137
18.35	-4.73001	-4.71472	0.01529
18.36	-4.74578	-4.72514	0.02064
18.37	-4.75309	-4.7257	0.02739
18.38	-4.7522	-4.71668	0.03552
18.39	-4.74342	-4.69847	0.04495
18.4	-4.72707	-4.67148	0.05559
18.41	-4.70352	-4.63621	0.06731
18.42	-4.67316	-4.5932	0.07996
18.43	-4.63641	-4.54305	0.09336
18.44	-4.59372	-4.4864	0.10732
18.45	-4.54554	-4.42391	0.12163
18.46	-4.49235	-4.35628	0.13607
18.47	-4.43462	-4.28419	0.15043
18.48	-4.37284	-4.20833	0.16451
18.49	-4.30748	-4.12935	0.17813
18.5	-4.23901	-4.0479	0.19111
18.51	-4.16788	-3.96455	0.20333
18.52	-4.0945	-3.87981	0.21469
18.53	-4.01927	-3.79416	0.22511
18.54	-3.94253	-3.70796	0.23457
18.55	-3.8646	-3.62151	0.24309
18.56	-3.78573	-3.53504	0.2507
18.57	-3.70613	-3.44868	0.25745
18.58	-3.62595	-3.36248	0.26347
18.59	-3.54525	-3.27643	0.26882
18.6	-3.46408	-3.19044	0.27364
18.61	-3.38237	-3.10436	0.27801
18.62	-3.30004	-3.01801	0.28203
18.63	-3.2169	-2.93115	0.28575
18.64	-3.13273	-2.84354	0.28919
18.65	-3.04726	-2.75489	0.29237
18.66	-2.96016	-2.66495	0.29521
18.67	-2.87106	-2.57346	0.2976
18.68	-2.77957	-2.48015	0.29942
18.69	-2.68525	-2.38483	0.30042
18.7	-2.58769	-2.2873	0.30039
18.71	-2.48644	-2.18739	0.29905
18.72	-2.38109	-2.08499	0.2961
18.73	-2.27122	-1.98	0.29122
18.74	-2.15647	-1.87237	0.2841
18.75	-2.03651	-1.76206	0.27445
18.76	-1.91107	-1.64907	0.262
18.77	-1.77995	-1.53338	0.24657
18.78	-1.64299	-1.41503	0.22796
18.79	-1.50016	-1.29401	0.20615
18.8	-1.35147	-1.17035	0.18112
18.81	-1.19704	-1.04405	0.15299
18.82	-1.03708	-0.9151	0.12198
18.83	-0.87187	-0.78347	0.0884
18.84	-0.70181	-0.64915	0.05266
18.85	-0.52735	-0.51207	0.01528
18.86	-0.34904	-0.37219	-0.02315
18.87	-0.16749	-0.22946	-0.06197
18.88	0.01664	-0.08381	-0.10045
18.89	0.20264	0.06479	-0.13784
18.9	0.38974	0.21637	-0.17337
18.91	0.5772	0.37091	-0.20629
18.92	0.76423	0.52836	-0.23587
18.93	0.95007	0.68863	-0.26144
18.94	1.13398	0.85156	-0.28241
18.95	1.31525	1.01695	-0.2983
18.96	1.49322	1.18451	-0.30871
18.97	1.66731	1.3539	-0.31341
18.98	1.83699	1.52471	-0.31228
18.99	2.00183	1.69646	-0.30537
19	2.16146	1.86862	-0.29284
19.01	2.31563	2.0406	-0.27503
19.02	2.46417	2.21177	-0.2524
19.03	2.60698	2.38149	-0.22549
19.04	2.74408	2.54907	-0.19502
19.05	2.87556	2.71384	-0.16173
19.06	3.00158	2.87513	-0.12645
19.07	3.12235	3.0323	-0.09005
19.08	3.23816	3.18473	-0.05343
19.09	3.3493	3.33187	-0.01743
19.1	3.4561	3.4732	0.0171
19.11	3.5589	3.60829	0.04939
19.12	3.65802	3.73675	0.07873
19.13	3.75376	3.85827	0.10451
19.14	3.84637	3.97262	0.12625
19.15	3.93605	4.0796	0.14356
19.16	4.02292	4.1791	0.15618
19.17	4.10704	4.27103	0.16399
19.18	4.18838	4.35536	0.16699
19.19	4.26679	4.43207	0.16528
19.2	4.34207	4.50116	0.15909
19.21	4.41388	4.56263	0.14875
19.22	4.48182	4.61647	0.13465
19.23	4.54538	4.66266	0.11728
19.24	4.60398	4.70113	0.09715
19.25	4.65698	4.7318	0.07482
19.26	4.70367	4.75454	0.05087
19.27	4.74331	4.76917	0.02586
19.28	4.77515	4.7755	3.46984E-4
19.29	4.79842	4.77329	-0.02513
19.3	4.81238	4.76229	-0.05009
19.31	4.81631	4.74223	-0.07408
19.32	4.80955	4.71284	-0.09671
19.33	4.79154	4.67388	-0.11766
19.34	4.76177	4.62514	-0.13663
19.35	4.71986	4.56643	-0.15343
19.36	4.66555	4.49766	-0.16789
19.37	4.59869	4.4188	-0.17989
19.38	4.51929	4.3299	-0.18939
19.39	4.42748	4.23113	-0.19635
19.4	4.32356	4.12274	-0.20082
19.41	4.20794	4.00512	-0.20282
19.42	4.0812	3.87874	-0.20246
19.43	3.94402	3.7442	-0.19982
19.44	3.79722	3.60218	-0.19504
19.45	3.64171	3.45345	-0.18826
19.46	3.4785	3.29886	-0.17964
19.47	3.30867	3.13931	-0.16936
19.48	3.13335	2.97573	-0.15762
19.49	2.95369	2.80909	-0.1446
19.5	2.77089	2.64032	-0.13057
19.51	2.58611	2.47035	-0.11576
19.52	2.40048	2.30005	-0.10043
19.53	2.21511	2.13024	-0.08487
19.54	2.03103	1.96163	-0.0694
19.55	1.84917	1.79485	-0.05432
19.56	1.67041	1.63043	-0.03998
19.57	1.49549	1.46878	-0.02671
19.58	1.32505	1.31019	-0.01486
19.59	1.15959	1.15483	-0.00476
19.6	0.99952	1.00278	0.00326
19.61	0.8451	0.85399	0.00889
19.62	0.69648	0.70835	0.01186
19.63	0.55369	0.56563	0.01195
19.64	0.41664	0.42559	0.00895
19.65	0.28516	0.28792	0.00276
19.66	0.15898	0.15227	-0.00671
19.67	0.03775	0.01832	-0.01944
19.68	-0.07893	-0.11427	-0.03534
19.69	-0.19151	-0.24579	-0.05428
19.7	-0.30048	-0.3765	-0.07603
19.71	-0.40633	-0.50661	-0.10028
19.72	-0.50957	-0.63624	-0.12667
19.73	-0.61069	-0.76548	-0.1548
19.74	-0.71013	-0.89432	-0.18418
19.75	-0.80834	-1.02267	-0.21433
19.76	-0.90567	-1.15038	-0.24471
19.77	-1.00245	-1.27723	-0.27478
19.78	-1.09891	-1.40294	-0.30403
19.79	-1.19525	-1.52717	-0.33192
19.8	-1.29156	-1.64954	-0.35798
19.81	-1.38787	-1.76964	-0.38177
19.82	-1.48413	-1.88704	-0.40291
19.83	-1.58023	-2.0013	-0.42107
19.84	-1.67597	-2.11196	-0.43599
19.85	-1.7711	-2.21858	-0.44748
19.86	-1.86529	-2.32075	-0.45546
19.87	-1.9582	-2.41805	-0.45985
19.88	-2.04939	-2.5101	-0.46071
19.89	-2.13842	-2.59654	-0.45812
19.9	-2.22481	-2.67704	-0.45223
19.91	-2.30806	-2.7513	-0.44324
19.92	-2.38765	-2.81903	-0.43138
19.93	-2.46306	-2.87997	-0.41691
19.94	-2.53376	-2.93387	-0.40011
19.95	-2.59924	-2.98049	-0.38125
19.96	-2.659	-3.0196	-0.3606
19.97	-2.71254	-3.05098	-0.33844
19.98	-2.75939	-3.0744	-0.31501
19.99	-2.79911	-3.08964	-0.29053
20	-2.83126	-3.09648	-0.26522
20.01	-2.85545	-3.0947	-0.23925
20.02	-2.87131	-3.08409	-0.21278
20.03	-2.87847	-3.06442	-0.18595
20.04	-2.87663	-3.03551	-0.15888
20.05	-2.86549	-2.99717	-0.13168
20.06	-2.84477	-2.94927	-0.1045
20.07	-2.81424	-2.89167	-0.07743
20.08	-2.77368	-2.82432	-0.05064
20.09	-2.7229	-2.74716	-0.02426
20.1	-2.66174	-2.66025	0.00149
20.11	-2.59009	-2.56366	0.02643
20.12	-2.50785	-2.45754	0.05031
20.13	-2.41498	-2.34213	0.07285
20.14	-2.31146	-2.2177	0.09376
20.15	-2.19733	-2.08463	0.1127
20.16	-2.0727	-1.94334	0.12936
20.17	-1.93772	-1.79432	0.1434
20.18	-1.79259	-1.63815	0.15444
20.19	-1.63762	-1.47541	0.16221
20.2	-1.47316	-1.30679	0.16638
20.21	-1.29967	-1.13296	0.16671
20.22	-1.11766	-0.95467	0.16299
20.23	-0.92775	-0.77266	0.15509
20.24	-0.73066	-0.58771	0.14295
20.25	-0.52717	-0.4006	0.12657
20.26	-0.31817	-0.2121	0.10607
20.27	-0.10463	-0.02299	0.08164
20.28	0.11239	0.16595	0.05356
20.29	0.33177	0.35398	0.02221
20.3	0.55231	0.54036	-0.01195
20.31	0.77277	0.72436	-0.04842
20.32	0.99185	0.90527	-0.08658
20.33	1.20824	1.08243	-0.12581
20.34	1.42058	1.25515	-0.16543
20.35	1.62756	1.4228	-0.20476
20.36	1.82784	1.58476	-0.24308
20.37	2.02017	1.74041	-0.27976
20.38	2.2033	1.88919	-0.31411
20.39	2.37609	2.03054	-0.34555
20.4	2.53748	2.16394	-0.37354
20.41	2.68651	2.28889	-0.39762
20.42	2.82234	2.40495	-0.41739
20.43	2.94427	2.51172	-0.43255
20.44	3.05173	2.60883	-0.4429
20.45	3.14431	2.69599	-0.44832
20.46	3.22176	2.77299	-0.44877
20.47	3.28399	2.83967	-0.44432
20.48	3.33105	2.89595	-0.4351
20.49	3.36316	2.94185	-0.42131
20.5	3.38069	2.97749	-0.4032
20.51	3.38415	3.00304	-0.38111
20.52	3.37417	3.01879	-0.35538
20.53	3.35149	3.02512	-0.32637
20.54	3.31698	3.02249	-0.29449
20.55	3.27156	3.01142	-0.26014
20.56	3.21621	2.99251	-0.2237
20.57	3.15198	2.96641	-0.18557
20.58	3.07991	2.9338	-0.14611
20.59	3.00106	2.8954	-0.10566
20.6	2.91647	2.85191	-0.06456
20.61	2.82715	2.80403	-0.02312
20.62	2.73404	2.75243	0.01839
20.63	2.63803	2.69772	0.05969
20.64	2.53991	2.64048	0.10057
20.65	2.4404	2.58116	0.14076
20.66	2.34012	2.52017	0.18005
20.67	2.23956	2.45779	0.21823
20.68	2.13914	2.39422	0.25508
20.69	2.03914	2.32955	0.29041
20.7	1.93978	2.26377	0.32399
20.71	1.84115	2.19676	0.35561
20.72	1.74325	2.12835	0.3851
20.73	1.64604	2.05826	0.41222
20.74	1.54939	1.98619	0.43681
20.75	1.4531	1.91176	0.45866
20.76	1.35697	1.83461	0.47764
20.77	1.26076	1.75436	0.4936
20.78	1.16422	1.67065	0.50643
20.79	1.0671	1.58318	0.51608
20.8	0.96919	1.49168	0.52249
20.81	0.87028	1.39598	0.5257
20.82	0.77024	1.29599	0.52575
20.83	0.66897	1.19171	0.52274
20.84	0.56642	1.08326	0.51684
20.85	0.46263	0.97086	0.50822
20.86	0.3577	0.85484	0.49714
20.87	0.25177	0.73562	0.48385
20.88	0.1451	0.61375	0.46865
20.89	0.03796	0.48982	0.45185
20.9	-0.06927	0.36451	0.43378
20.91	-0.1762	0.23854	0.41475
20.92	-0.28238	0.11269	0.39506
20.93	-0.3873	-0.01229	0.37501
20.94	-0.49046	-0.13562	0.35485
20.95	-0.59133	-0.25654	0.33479
20.96	-0.68938	-0.37437	0.31501
20.97	-0.78408	-0.48844	0.29564
20.98	-0.87491	-0.59818	0.27673
20.99	-0.9614	-0.70308	0.25832
21	-1.0431	-0.80274	0.24036
21.01	-1.1196	-0.89681	0.22279
21.02	-1.19055	-0.98507	0.20548
21.03	-1.25565	-1.06736	0.18829
21.04	-1.31466	-1.14362	0.17104
21.05	-1.36741	-1.21385	0.15356
21.06	-1.41378	-1.27812	0.13566
21.07	-1.45371	-1.33655	0.11716
21.08	-1.48723	-1.38931	0.09792
21.09	-1.5144	-1.43659	0.07781
21.1	-1.53534	-1.4786	0.05674
21.11	-1.55024	-1.51554	0.0347
21.12	-1.55931	-1.54762	0.01169
21.13	-1.56282	-1.57504	-0.01222
21.14	-1.56106	-1.59798	-0.03692
21.15	-1.55438	-1.61658	-0.0622
21.16	-1.54311	-1.63096	-0.08785
21.17	-1.52764	-1.64124	-0.1136
21.18	-1.50833	-1.64748	-0.13915
21.19	-1.48558	-1.64975	-0.16417
21.2	-1.45979	-1.6481	-0.18831
21.21	-1.43134	-1.64256	-0.21122
21.22	-1.40061	-1.6332	-0.23259
21.23	-1.368	-1.62006	-0.25206
21.24	-1.33386	-1.60322	-0.26936
21.25	-1.29856	-1.58278	-0.28422
21.26	-1.26242	-1.55887	-0.29645
21.27	-1.22579	-1.53166	-0.30587
21.28	-1.18897	-1.50134	-0.31238
21.29	-1.15224	-1.46816	-0.31592
21.3	-1.1159	-1.4324	-0.3165
21.31	-1.08018	-1.39435	-0.31417
21.32	-1.04533	-1.35435	-0.30902
21.33	-1.01157	-1.31276	-0.30119
21.34	-0.97909	-1.26995	-0.29086
21.35	-0.94806	-1.22629	-0.27823
21.36	-0.91864	-1.18216	-0.26352
21.37	-0.89095	-1.13792	-0.24697
21.38	-0.86511	-1.0939	-0.22879
21.39	-0.84119	-1.05041	-0.20922
