r	calc	exp	diff
3.21	-2.84433	-2.67655	0.16778
3.22	-2.84516	-2.71392	0.13125
3.23	-2.84452	-2.76108	0.08344
3.24	-2.84238	-2.81791	0.02447
3.25	-2.83873	-2.88387	-0.04514
3.26	-2.83354	-2.95791	-0.12437
3.27	-2.82676	-3.03856	-0.2118
3.28	-2.81835	-3.12387	-0.30552
3.29	-2.80824	-3.21151	-0.40327
3.3	-2.79636	-3.29874	-0.50238
3.31	-2.78261	-3.38258	-0.59997
3.32	-2.76688	-3.45982	-0.69295
3.33	-2.74903	-3.52714	-0.77811
3.34	-2.72892	-3.58125	-0.85233
3.35	-2.70637	-3.61895	-0.91258
3.36	-2.68119	-3.63731	-0.95612
3.37	-2.65317	-3.63374	-0.98057
3.38	-2.62209	-3.60614	-0.98405
3.39	-2.5877	-3.55298	-0.96528
3.4	-2.54975	-3.47337	-0.92362
3.41	-2.508	-3.36718	-0.85918
3.42	-2.46217	-3.23506	-0.77289
3.43	-2.41202	-3.07843	-0.66641
3.44	-2.35731	-2.89954	-0.54223
3.45	-2.29782	-2.70136	-0.40354
3.46	-2.23333	-2.48758	-0.25425
3.47	-2.16369	-2.26249	-0.0988
3.48	-2.08875	-2.03086	0.05789
3.49	-2.00841	-1.79781	0.2106
3.5	-1.92263	-1.56864	0.35399
3.51	-1.8314	-1.34867	0.48273
3.52	-1.73478	-1.14306	0.59172
3.53	-1.63287	-0.95663	0.67624
3.54	-1.52584	-0.79365	0.73219
3.55	-1.41391	-0.65772	0.75619
3.56	-1.29738	-0.55161	0.74577
3.57	-1.17658	-0.47711	0.69947
3.58	-1.05191	-0.43496	0.61696
3.59	-0.92383	-0.42476	0.49907
3.6	-0.79283	-0.44499	0.34784
3.61	-0.65945	-0.49298	0.16647
3.62	-0.52427	-0.56499	-0.04072
3.63	-0.38791	-0.65628	-0.26838
3.64	-0.25098	-0.76126	-0.51028
3.65	-0.11414	-0.87365	-0.75951
3.66	0.02197	-0.98664	-1.00861
3.67	0.15669	-1.09318	-1.24987
3.68	0.28938	-1.18612	-1.4755
3.69	0.41943	-1.25853	-1.67796
3.7	0.54625	-1.30387	-1.85012
3.71	0.66928	-1.31627	-1.98555
3.72	0.78803	-1.29074	-2.07877
3.73	0.90203	-1.22332	-2.12535
3.74	1.0109	-1.1113	-2.1222
3.75	1.11432	-0.95328	-2.06761
3.76	1.21204	-0.74929	-1.96133
3.77	1.30388	-0.50079	-1.80467
3.78	1.38974	-0.21069	-1.60043
3.79	1.46963	0.11677	-1.35287
3.8	1.54362	0.47606	-1.06756
3.81	1.61186	0.86057	-0.75129
3.82	1.67458	1.2628	-0.41179
3.83	1.73212	1.67455	-0.05757
3.84	1.78486	2.08721	0.30236
3.85	1.83324	2.49199	0.65875
3.86	1.87779	2.88024	1.00245
3.87	1.91908	3.24368	1.3246
3.88	1.95769	3.57468	1.61699
3.89	1.99428	3.86649	1.87221
3.9	2.02948	4.11347	2.08399
3.91	2.06395	4.31123	2.24728
3.92	2.09834	4.45681	2.35847
3.93	2.13327	4.54872	2.41545
3.94	2.16933	4.58699	2.41766
3.95	2.20707	4.57317	2.3661
3.96	2.24698	4.51027	2.26329
3.97	2.28947	4.40259	2.11312
3.98	2.3349	4.25566	1.92076
3.99	2.38352	4.07594	1.69242
4	2.43549	3.87071	1.43522
4.01	2.49089	3.64771	1.15682
4.02	2.5497	3.41499	0.86529
4.03	2.61177	3.18057	0.5688
4.04	2.6769	2.9522	0.2753
4.05	2.74476	2.73716	-0.0076
4.06	2.81494	2.54198	-0.27296
4.07	2.88694	2.37229	-0.51465
4.08	2.9602	2.23264	-0.72756
4.09	3.03409	2.1264	-0.90769
4.1	3.1079	2.05569	-1.05221
4.11	3.18092	2.02135	-1.15957
4.12	3.25236	2.02296	-1.2294
4.13	3.32147	2.05891	-1.26256
4.14	3.38743	2.12648	-1.26095
4.15	3.44947	2.22201	-1.22746
4.16	3.50684	2.34105	-1.16579
4.17	3.55879	2.47853	-1.08026
4.18	3.60462	2.62898	-0.97564
4.19	3.64371	2.78676	-0.85695
4.2	3.67546	2.94622	-0.72924
4.21	3.69935	3.1019	-0.59745
4.22	3.71493	3.24876	-0.46617
4.23	3.72182	3.38227	-0.33955
4.24	3.71973	3.49857	-0.22116
4.25	3.70842	3.59457	-0.11385
4.26	3.68777	3.66802	-0.01975
4.27	3.65769	3.71748	0.05979
4.28	3.61819	3.7424	0.12421
4.29	3.56936	3.74298	0.17362
4.3	3.51135	3.7202	0.20885
4.31	3.44435	3.67564	0.23129
4.32	3.36864	3.61142	0.24278
4.33	3.28455	3.53003	0.24548
4.34	3.19244	3.43423	0.24179
4.35	3.09272	3.32687	0.23415
4.36	2.98584	3.2108	0.22496
4.37	2.8723	3.08868	0.21638
4.38	2.75258	2.96294	0.21036
4.39	2.62723	2.83565	0.20842
4.4	2.49678	2.70846	0.21168
4.41	2.3618	2.58253	0.22073
4.42	2.22284	2.45857	0.23573
4.43	2.08049	2.3368	0.25631
4.44	1.93529	2.21699	0.2817
4.45	1.78782	2.09853	0.31071
4.46	1.63863	1.98048	0.34185
4.47	1.48825	1.86167	0.37342
4.48	1.33721	1.74079	0.40358
4.49	1.18601	1.61647	0.43046
4.5	1.03514	1.4874	0.45226
4.51	0.88504	1.35243	0.46739
4.52	0.73614	1.21063	0.47449
4.53	0.58884	1.06135	0.47251
4.54	0.4435	0.9043	0.4608
4.55	0.30044	0.73958	0.43914
4.56	0.15995	0.56767	0.40772
4.57	0.02227	0.38943	0.36716
4.58	-0.11237	0.20609	0.31845
4.59	-0.24381	0.01916	0.26297
4.6	-0.37192	-0.16958	0.20234
4.61	-0.49658	-0.35818	0.13841
4.62	-0.61775	-0.54461	0.07315
4.63	-0.73539	-0.72683	0.00856
4.64	-0.84948	-0.9029	-0.05342
4.65	-0.96007	-1.07105	-0.11098
4.66	-1.06718	-1.22974	-0.16256
4.67	-1.17088	-1.37776	-0.20688
4.68	-1.27124	-1.51424	-0.243
4.69	-1.36835	-1.63871	-0.27036
4.7	-1.4623	-1.75112	-0.28882
4.71	-1.55316	-1.85178	-0.29862
